process,zenith,wavelength,truth_pct,err_default_pct,err_trueEd_pct,err_trueEd_mud_pct
Raman,0,490.000,11.395,17.372,-2.592,-2.205
Raman,0,550.000,17.605,-26.463,-23.191,-24.285
Raman,0,660.000,19.378,-49.318,-41.660,-43.316
ChlFl,0,685.000,,213.732,139.421,
Raman,30,490.000,8.484,57.637,29.535,29.705
Raman,30,550.000,12.312,5.154,9.242,8.811
Raman,30,660.000,11.477,-14.425,-2.093,-2.922
ChlFl,30,685.000,,196.227,126.062,
Raman,60,490.000,8.067,65.785,30.740,29.818
Raman,60,550.000,12.354,4.796,6.257,8.590
Raman,60,660.000,11.740,-16.340,-7.413,-2.798
ChlFl,60,685.000,,169.312,105.522,
