# Colorbar of Dutkiewicz et al. (2018) Fig. 10, sampled top-to-bottom.
count,R,G,B
19443.3,40,0,0
19205.4,53,0,0
18970.3,53,0,0
18738.2,53,0,0
18508.9,53,0,0
18282.4,53,0,0
18058.6,53,0,0
17837.6,53,0,0
17619.3,53,0,0
17403.7,53,0,0
17190.7,53,0,0
16980.3,53,0,0
16772.5,53,0,0
16567.3,53,0,0
16364.5,61,0,0
16164.3,63,0,0
15966.5,63,0,0
15771.1,63,0,0
15578.1,63,0,0
15387.4,63,0,0
15199.1,63,0,0
15013.1,63,0,0
14829.4,63,0,0
14647.9,63,0,0
14468.6,63,0,0
14291.6,63,0,0
14116.7,63,0,0
13943.9,63,0,0
13773.3,71,0,0
13604.7,74,0,0
13438.2,74,0,0
13273.8,74,0,0
13111.3,74,0,0
12950.9,74,0,0
12792.4,74,0,0
12635.8,74,0,0
12481.2,74,0,0
12328.5,74,0,0
12177.6,74,0,0
12028.6,74,0,0
11881.4,74,0,0
11736,74,0,0
11592.3,74,0,0
11450.5,74,0,0
11310.3,82,0,0
11171.9,85,0,0
11035.2,85,0,0
10900.2,85,0,0
10766.8,85,0,0
10635,85,0,0
10504.9,85,0,0
10376.3,85,0,0
10249.3,85,0,0
10123.9,85,0,0
10000,85,0,0
9877.62,85,0,0
9756.74,85,0,0
9637.34,85,0,0
9519.4,85,0,0
9402.9,85,0,0
9287.83,93,0,0
9174.17,95,0,0
9061.9,95,0,0
8951,95,0,0
8841.46,95,0,0
8733.26,95,0,0
8626.39,95,0,0
8520.82,95,0,0
8416.54,95,0,0
8313.54,95,0,0
8211.8,95,0,0
8111.31,95,0,0
8012.04,95,0,0
7913.99,95,0,0
7817.14,95,0,0
7721.48,95,0,0
7626.99,103,0,0
7533.65,106,0,0
7441.45,106,0,0
7350.39,106,0,0
7260.43,106,0,0
7171.58,106,0,0
7083.82,106,0,0
6997.13,106,0,0
6911.5,106,0,0
6826.92,106,0,0
6743.37,106,0,0
6660.85,106,0,0
6579.33,106,0,0
6498.82,106,0,0
6419.28,111,0,0
6340.73,116,0,0
6263.13,116,0,0
6186.48,116,0,0
6110.77,116,0,0
6035.99,116,0,0
5962.12,116,0,0
5889.16,116,0,0
5817.09,116,0,0
5745.9,116,0,0
5675.59,116,0,0
5606.13,116,0,0
5537.52,116,0,0
5469.76,116,0,0
5402.82,116,0,0
5336.7,116,0,0
5271.39,122,0,0
5206.88,127,0,0
5143.16,127,0,0
5080.22,127,0,0
5018.05,127,0,0
4956.64,127,0,0
4895.98,127,0,0
4836.06,127,0,0
4776.88,127,0,0
4718.42,127,0,0
4660.68,127,0,0
4603.64,127,0,0
4547.3,127,0,0
4491.66,127,0,0
4436.69,127,0,0
4382.39,127,0,0
4328.76,133,0,0
4275.79,138,0,0
4223.46,138,0,0
4171.77,138,0,0
4120.72,138,0,0
4070.29,138,0,0
4020.48,138,0,0
3971.28,138,0,0
3922.68,138,0,0
3874.68,138,0,0
3827.26,138,0,0
3780.42,138,0,0
3734.16,138,0,0
3688.46,138,0,0
3643.32,138,0,0
3598.73,138,0,0
3554.69,143,0,0
3511.19,148,0,0
3468.22,148,0,0
3425.78,148,0,0
3383.86,148,0,0
3342.44,148,0,0
3301.54,148,0,0
3261.14,148,0,0
3221.23,148,0,0
3181.81,148,0,0
3142.87,148,0,0
3104.41,148,0,0
3066.42,148,0,0
3028.89,148,0,0
2991.82,154,0,0
2955.21,159,0,0
2919.04,159,0,0
2883.32,159,0,0
2848.04,159,0,0
2813.18,159,0,0
2778.76,159,0,0
2744.75,159,0,0
2711.16,159,0,0
2677.98,159,0,0
2645.21,159,0,0
2612.84,159,0,0
2580.86,159,0,0
2549.28,159,0,0
2518.08,159,0,0
2487.26,159,0,0
2456.83,165,0,0
2426.76,170,0,0
2397.06,170,0,0
2367.73,170,0,0
2338.75,170,0,0
2310.13,170,0,0
2281.86,170,0,0
2253.93,170,0,0
2226.35,170,0,0
2199.11,170,0,0
2172.19,170,0,0
2145.61,170,0,0
2119.35,170,0,0
2093.42,170,0,0
2067.8,170,0,0
2042.49,170,0,0
2017.5,175,0,0
1992.81,180,0,0
1968.42,180,0,0
1944.33,180,0,0
1920.54,180,0,0
1897.03,180,0,0
1873.82,180,0,0
1850.89,180,0,0
1828.24,180,0,0
1805.86,180,0,0
1783.76,180,0,0
1761.93,180,0,0
1740.37,180,0,0
1719.07,180,0,0
1698.03,186,0,0
1677.25,191,0,0
1656.73,191,0,0
1636.45,191,0,0
1616.43,191,0,0
1596.65,191,0,0
1577.11,191,0,0
1557.81,191,0,0
1538.74,191,0,0
1519.91,191,0,0
1501.31,191,0,0
1482.94,191,0,0
1464.79,191,0,0
1446.86,191,0,0
1429.16,191,0,0
1411.67,191,0,0
1394.39,196,0,0
1377.33,201,0,0
1360.47,201,0,0
1343.82,201,0,0
1327.38,201,0,0
1311.13,201,0,0
1295.09,201,0,0
1279.24,201,0,0
1263.58,201,0,0
1248.12,201,0,0
1232.85,201,0,0
1217.76,201,0,0
1202.86,201,0,0
1188.14,201,0,0
1173.6,201,0,0
1159.23,201,0,0
1145.05,207,0,0
1131.03,212,0,0
1117.19,212,0,0
1103.52,212,0,0
1090.02,212,0,0
1076.68,212,0,0
1063.5,212,0,0
1050.49,212,0,0
1037.63,212,0,0
1024.93,212,0,0
1012.39,212,0,0
1000,212,0,0
987.762,212,0,0
975.674,212,0,0
963.734,212,0,0
951.94,212,0,0
940.29,218,0,0
928.783,223,0,0
917.417,223,0,0
906.19,223,0,0
895.1,223,0,0
884.146,223,0,0
873.326,223,0,0
862.639,223,0,0
852.082,223,0,0
841.654,223,0,0
831.354,223,0,0
821.18,223,0,0
811.131,223,0,0
801.204,223,0,0
791.399,228,0,0
781.714,233,0,0
772.148,233,0,0
762.699,233,0,0
753.365,233,0,0
744.145,233,0,0
735.039,233,0,0
726.043,233,0,0
717.158,233,0,0
708.382,233,0,0
699.713,233,0,0
691.15,233,0,0
682.692,233,0,0
674.337,233,0,0
666.085,233,0,0
657.933,233,0,0
649.882,239,0,0
641.928,244,0,0
634.073,244,0,0
626.313,244,0,0
618.648,244,0,0
611.077,244,0,0
603.599,244,0,0
596.212,244,0,0
588.916,244,0,0
581.709,244,0,0
574.59,244,0,0
567.559,244,0,0
560.613,244,0,0
553.752,244,0,0
546.976,244,0,0
540.282,244,0,0
533.67,250,0,0
527.139,255,0,0
520.688,255,0,0
514.316,255,0,0
508.022,255,0,0
501.805,255,0,0
495.664,255,0,0
489.598,255,0,0
483.606,255,0,0
477.688,255,0,0
471.842,255,0,0
466.068,255,0,0
460.364,255,0,0
454.73,255,0,0
449.166,255,0,0
443.669,255,0,0
438.239,255,5,0
432.876,255,10,0
427.579,255,10,0
422.346,255,10,0
417.177,255,10,0
412.072,255,10,0
407.029,255,10,0
402.048,255,10,0
397.128,255,10,0
392.268,255,10,0
387.468,255,10,0
382.726,255,10,0
378.042,255,10,0
373.416,255,10,0
368.846,255,16,0
364.332,255,21,0
359.873,255,21,0
355.469,255,21,0
351.119,255,21,0
346.822,255,21,0
342.578,255,21,0
338.386,255,21,0
334.244,255,21,0
330.154,255,21,0
326.114,255,21,0
322.123,255,21,0
318.181,255,21,0
314.287,255,21,0
310.441,255,21,0
