# Joint PDF of model "actual" Chl-a vs CDOM, digitized from Fig. 10a of
# Dutkiewicz et al. (2018), Biogeosciences 15, 613-630,
# doi:10.5194/bg-15-613-2018, by robust/dutkiewicz2018_fig10.py.
# Bin centres on a regular log10 grid (40 bins per decade).
# count    : mean per-native-bin sample count from the colorbar (relative density)
# fraction : count normalized to sum to 1 over all listed bins
# CDOM in mmol C m-3; Chl in mg m-3.
log10_CDOM,log10_Chl,CDOM,Chl,count,fraction
-2.4125,-1.9875,0.00386812,0.010292,1.20286,3.383235e-07
-2.4125,-1.9625,0.00386812,0.0109018,0.962285,2.706588e-07
-2.3875,-1.9875,0.00409732,0.010292,10.9825,3.089019e-06
-2.3875,-1.9625,0.00409732,0.0109018,9.44151,2.655583e-06
-2.3875,-1.9375,0.00409732,0.0115478,2.45765,6.912542e-07
-2.3875,-1.9125,0.00409732,0.0122321,0.225059,6.330172e-08
-2.3625,-1.9875,0.0043401,0.010292,30.3367,8.532703e-06
-2.3625,-1.9625,0.0043401,0.0109018,27.1244,7.629184e-06
-2.3625,-1.9375,0.0043401,0.0115478,10.4785,2.947248e-06
-2.3625,-1.9125,0.0043401,0.0122321,3.03703,8.542163e-07
-2.3625,-1.8875,0.0043401,0.0129569,0.445516,1.253089e-07
-2.3375,-1.9875,0.00459727,0.010292,115.38,3.245247e-05
-2.3375,-1.9625,0.00459727,0.0109018,86.3321,2.428234e-05
-2.3375,-1.9375,0.00459727,0.0115478,42.9211,1.207227e-05
-2.3375,-1.9125,0.00459727,0.0122321,19.5438,5.497006e-06
-2.3375,-1.8875,0.00459727,0.0129569,6.03296,1.696869e-06
-2.3375,-1.8625,0.00459727,0.0137246,1.2419,3.493038e-07
-2.3125,-1.9875,0.00486968,0.010292,1077.88,3.031712e-04
-2.3125,-1.9625,0.00486968,0.0109018,176.388,4.961215e-05
-2.3125,-1.9375,0.00486968,0.0115478,102.802,2.891490e-05
-2.3125,-1.9125,0.00486968,0.0122321,62.827,1.767113e-05
-2.3125,-1.8875,0.00486968,0.0129569,23.2837,6.548939e-06
-2.3125,-1.8625,0.00486968,0.0137246,5.10432,1.435676e-06
-2.3125,-1.8375,0.00486968,0.0145378,0.701253,1.972392e-07
-2.3125,-1.8125,0.00486968,0.0153993,0.0687347,1.933277e-08
-2.2875,-1.9875,0.00515822,0.010292,1217.5,3.424409e-04
-2.2875,-1.9625,0.00515822,0.0109018,362.439,1.019419e-04
-2.2875,-1.9375,0.00515822,0.0115478,272.183,7.655588e-05
-2.2875,-1.9125,0.00515822,0.0122321,233.811,6.576327e-05
-2.2875,-1.8875,0.00515822,0.0129569,108.303,3.046215e-05
-2.2875,-1.8625,0.00515822,0.0137246,29.0096,8.159432e-06
-2.2875,-1.8375,0.00515822,0.0145378,5.57459,1.567946e-06
-2.2875,-1.8125,0.00515822,0.0153993,1.65343,4.650561e-07
-2.2625,-1.9875,0.00546387,0.010292,1255.47,3.531225e-04
-2.2625,-1.9625,0.00546387,0.0109018,454.143,1.277353e-04
-2.2625,-1.9375,0.00546387,0.0115478,409.674,1.152275e-04
-2.2625,-1.9125,0.00546387,0.0122321,349.604,9.833202e-05
-2.2625,-1.8875,0.00546387,0.0129569,230.562,6.484927e-05
-2.2625,-1.8625,0.00546387,0.0137246,103.691,2.916470e-05
-2.2625,-1.8375,0.00546387,0.0145378,23.6107,6.640897e-06
-2.2625,-1.8125,0.00546387,0.0153993,7.13814,2.007720e-06
-2.2625,-1.7875,0.00546387,0.0163117,0.755907,2.126116e-07
-2.2625,-1.7625,0.00546387,0.0172783,0.653477,1.838013e-07
-2.2375,-1.9875,0.00578762,0.010292,1307.1,3.676425e-04
-2.2375,-1.9625,0.00578762,0.0109018,527.139,1.482666e-04
-2.2375,-1.9375,0.00578762,0.0115478,509.406,1.432789e-04
-2.2375,-1.9125,0.00578762,0.0122321,447.227,1.257900e-04
-2.2375,-1.8875,0.00578762,0.0129569,345.67,9.722541e-05
-2.2375,-1.8625,0.00578762,0.0137246,256.858,7.224562e-05
-2.2375,-1.8375,0.00578762,0.0145378,127.731,3.592648e-05
-2.2375,-1.8125,0.00578762,0.0153993,43.0099,1.209725e-05
-2.2375,-1.7875,0.00578762,0.0163117,0.37127,1.044260e-07
-2.2375,-1.7625,0.00578762,0.0172783,1.06652,2.999767e-07
-2.2125,-1.9875,0.00613056,0.010292,1281.93,3.605636e-04
-2.2125,-1.9625,0.00613056,0.0109018,579.608,1.630244e-04
-2.2125,-1.9375,0.00613056,0.0115478,527.139,1.482666e-04
