# Chl-a and CDOM for the 3320 IOP combinations of the Loisel et al.
# (2023, ESSD 15, 3711-3731) synthetic database, expressed in the
# units of Dutkiewicz et al. (2018) Fig. 10a:
#   Chl (mg m-3)       = aph(440) / 0.05582  (Bricaud et al. 1998)
#   CDOM (mmol C m-3)  = ag(450) / 0.18  (Dutkiewicz et al. 2015 ccdom)
# Written by robust/dutkiewicz2018_fig10.py.
index,aph440,ag440,ag450,Chl,CDOM
0,0.003711,0.005796,0.005131,0.0664815,0.0285056
1,0.004845,0.003082,0.002723,0.0867968,0.0151278
2,0.005047,0.008174,0.007375,0.0904156,0.0409722
3,0.005924,0.004817,0.004063,0.106127,0.0225722
4,0.008553,0.002893,0.002616,0.153225,0.0145333
5,0.009172,0.013886,0.01182,0.164314,0.0656667
6,0.004031,0.002159,0.001875,0.0722143,0.0104167
7,0.006006,0.003139,0.002771,0.107596,0.0153944
8,0.008603,0.004177,0.003541,0.15412,0.0196722
9,0.009607,0.015317,0.013423,0.172107,0.0745722
10,0.031405,0.019716,0.017604,0.562612,0.0978
11,0.004512,0.001614,0.001445,0.0808312,0.00802778
12,0.005255,0.005263,0.004513,0.0941419,0.0250722
13,0.006615,0.005764,0.00513,0.118506,0.0285
14,0.007512,0.009079,0.007521,0.134575,0.0417833
15,0.008579,0.009464,0.008011,0.15369,0.0445056
16,0.009192,0.013367,0.011112,0.164672,0.0617333
17,0.004821,0.008244,0.006912,0.0863669,0.0384
18,0.00683,0.00402,0.003356,0.122358,0.0186444
19,0.009607,0.014483,0.012301,0.172107,0.0683389
20,0.004485,0.00405,0.003413,0.0803475,0.0189611
21,0.025034,0.033111,0.029655,0.448477,0.16475
22,0.008646,0.014753,0.012461,0.154891,0.0692278
23,0.006116,0.012246,0.01073,0.109566,0.0596111
24,0.006311,0.009215,0.007907,0.11306,0.0439278
25,0.009418,0.005338,0.004426,0.168721,0.0245889
26,0.00448,0.004473,0.004025,0.080258,0.0223611
27,0.007414,0.005853,0.005037,0.13282,0.0279833
28,0.009015,0.00757,0.006559,0.161501,0.0364389
29,0.005829,0.002959,0.002446,0.104425,0.0135889
30,0.008021,0.006279,0.005335,0.143694,0.0296389
31,0.009329,0.006641,0.005446,0.167126,0.0302556
32,0.043597,0.042981,0.035334,0.781028,0.1963
33,0.005012,0.0104,0.008876,0.0897886,0.0493111
34,0.005629,0.00524,0.004359,0.100842,0.0242167
35,0.006311,0.001483,0.00128,0.11306,0.00711111
36,0.004821,0.002141,0.001834,0.0863669,0.0101889
37,0.006116,0.005743,0.005104,0.109566,0.0283556
38,0.009192,0.002946,0.002501,0.164672,0.0138944
39,0.007579,0.004543,0.003733,0.135776,0.0207389
40,0.007512,0.012141,0.010414,0.134575,0.0578556
41,0.006949,0.008114,0.006998,0.124489,0.0388778
42,0.008512,0.004763,0.003981,0.15249,0.0221167
43,0.0437,0.035642,0.031761,0.782873,0.17645
44,0.005851,0.007739,0.006938,0.104819,0.0385444
45,0.007291,0.003659,0.003032,0.130616,0.0168444
46,0.008474,0.003257,0.002946,0.151809,0.0163667
47,0.009172,0.010821,0.009303,0.164314,0.0516833
48,0.006983,0.0106,0.008962,0.125099,0.0497889
49,0.007191,0.001465,0.001252,0.128825,0.00695556
50,0.008425,0.010302,0.008887,0.150932,0.0493722
51,0.009015,0.002246,0.001968,0.161501,0.0109333
52,0.006951,0.006915,0.005891,0.124525,0.0327278
53,0.008603,0.019742,0.016304,0.15412,0.0905778
54,0.013734,0.005139,0.004579,0.246041,0.0254389
55,0.004821,0.004651,0.003931,0.0863669,0.0218389
56,0.006996,0.00967,0.007959,0.125331,0.0442167
57,0.006198,0.003205,0.002871,0.111035,0.01595
58,0.006314,0.002559,0.0022,0.113114,0.0122222
59,0.00748,0.001907,0.001706,0.134002,0.00947778
60,0.007377,0.010253,0.008785,0.132157,0.0488056
61,0.008758,0.004623,0.003905,0.156897,0.0216944
62,0.00514,0.008098,0.00722,0.0920817,0.0401111
63,0.007235,0.005876,0.004919,0.129613,0.0273278
64,0.00749,0.002559,0.002225,0.134181,0.0123611
65,0.039906,0.019008,0.016933,0.714905,0.0940722
66,0.006615,0.009155,0.007572,0.118506,0.0420667
67,0.005255,0.005852,0.005135,0.0941419,0.0285278
68,0.007721,0.006093,0.00548,0.13832,0.0304444
69,0.005851,0.002588,0.002291,0.104819,0.0127278
70,0.008193,0.002413,0.002165,0.146775,0.0120278
71,0.007377,0.011224,0.009235,0.132157,0.0513056
72,0.005851,0.00791,0.007146,0.104819,0.0397
73,0.007349,0.024313,0.021749,0.131655,0.120828
74,0.00816,0.012895,0.011653,0.146184,0.0647389
75,0.005753,0.00414,0.003666,0.103063,0.0203667
76,0.003463,0.002106,0.001888,0.0620387,0.0104889
77,0.006311,0.001661,0.001501,0.11306,0.00833889
78,0.008646,0.004675,0.003967,0.154891,0.0220389
79,0.005903,0.018516,0.01591,0.105751,0.0883889
80,0.007721,0.007808,0.006894,0.13832,0.0383
81,0.008347,0.008309,0.007374,0.149534,0.0409667
82,0.008255,0.019405,0.0174,0.147886,0.0966667
83,0.006311,0.002696,0.002351,0.11306,0.0130611
84,0.005818,0.003311,0.002994,0.104228,0.0166333
85,0.008553,0.002814,0.002397,0.153225,0.0133167
86,0.006006,0.010877,0.009382,0.107596,0.0521222
87,0.061496,0.039574,0.034218,1.10168,0.1901
88,0.006836,0.018312,0.016066,0.122465,0.0892556
89,0.008347,0.01327,0.011146,0.149534,0.0619222
90,0.006198,0.001919,0.001596,0.111035,0.00886667
91,0.006615,0.008561,0.007546,0.118506,0.0419222
92,0.007579,0.004123,0.003544,0.135776,0.0196889
93,0.008057,0.006866,0.005941,0.144339,0.0330056
94,0.006006,0.003191,0.002791,0.107596,0.0155056
95,0.006314,0.008907,0.007411,0.113114,0.0411722
96,0.007377,0.002829,0.00232,0.132157,0.0128889
97,0.006314,0.00646,0.00549,0.113114,0.0305
98,0.070152,0.055383,0.046871,1.25675,0.260394
99,0.008512,0.01951,0.017336,0.15249,0.0963111
100,0.00748,0.002763,0.00247,0.134002,0.0137222
101,0.008603,0.016114,0.013759,0.15412,0.0764389
102,0.005829,0.00186,0.001628,0.104425,0.00904444
103,0.007381,0.002284,0.002012,0.132229,0.0111778
104,0.006198,0.008532,0.007307,0.111035,0.0405944
105,0.007865,0.004429,0.003936,0.140899,0.0218667
106,0.006615,0.016576,0.014015,0.118506,0.0778611
107,0.007579,0.008365,0.007527,0.135776,0.0418167
108,0.007946,0.011551,0.010417,0.14235,0.0578722
109,0.002347,0.000906,0.000754,0.0420459,0.00418889
110,0.017454,0.031747,0.026761,0.312684,0.148672
111,0.00628,0.002561,0.002252,0.112504,0.0125111
112,0.007946,0.00374,0.003358,0.14235,0.0186556
113,0.005629,0.019094,0.015789,0.100842,0.0877167
114,0.007579,0.008705,0.007238,0.135776,0.0402111
