# In situ Chl-a and CDOM shared by Raphe Kudela (UCSC), expressed in
# the units of Dutkiewicz et al. (2018) Fig. 10a.
# source: field  = CDOM_TChla.csv (789 Pacific/Arctic samples, 2010-2017;
#                  distinct near-surface samples, Chl-a by HPLC --
#                  R. Kudela via Q&A in claude_prompts/dutkiewicz_priors.md)
#         GLORIA = GLORIA_meta_and_lab.csv (Lehmann et al. 2023), rows with
#                  both Chla and aCDOM440
# Chl in mg m-3 (as reported);
# CDOM (mmol C m-3) = aCDOM440 * exp(-0.021*10) / 0.18
#   (shift to 450 nm with the Darwin spectral slope, then invert ccdom(450))
# QC: rows with non-positive Chl or aCDOM440 dropped.
# Written by robust/dutkiewicz2018_fig10.py.
source,Chl,aCDOM440,CDOM
field,0.181,0.015,0.0675487
field,0.181,0.015,0.0675487
field,0.181,0.015,0.0675487
field,0.385,0.015,0.0675487
field,44.196,2.146,9.66397
field,44.196,2.146,9.66397
field,44.196,2.146,9.66397
field,44.196,2.146,9.66397
field,44.196,2.146,9.66397
field,44.196,2.146,9.66397
field,15.231,0.089,0.400789
field,15.231,0.089,0.400789
field,15.231,0.089,0.400789
field,15.231,0.089,0.400789
field,15.231,0.089,0.400789
field,16.534,1.975,8.89391
field,16.534,1.975,8.89391
field,16.534,1.975,8.89391
field,16.534,1.975,8.89391
field,16.534,1.975,8.89391
field,16.534,1.975,8.89391
field,18.642,1.983,8.92994
field,18.642,1.983,8.92994
field,18.642,1.983,8.92994
field,8.682,0.648,2.9181
field,8.682,0.648,2.9181
field,8.682,0.648,2.9181
field,1.765,0.277,1.2474
field,1.765,0.277,1.2474
field,1.765,0.277,1.2474
field,2.137,0.32,1.44104
field,2.137,0.32,1.44104
field,2.137,0.32,1.44104
field,2.137,0.32,1.44104
field,16.986,0.453,2.03997
field,16.986,0.453,2.03997
field,16.986,0.453,2.03997
field,16.986,0.453,2.03997
field,0.706,0.492,2.2156
field,0.706,0.492,2.2156
field,0.706,0.492,2.2156
field,0.706,0.492,2.2156
field,0.706,0.492,2.2156
field,1.925,0.305,1.37349
field,1.925,0.305,1.37349
field,1.925,0.305,1.37349
field,1.843,0.484,2.17957
field,1.843,0.484,2.17957
field,1.843,0.484,2.17957
